Trial,Task Completion Time (s),RMS Cartesian Error (mm),Max Cartesian Error (mm),Peak Force (N),Peak Joint Torque (Nm),Joint Temperature (°C),Success,Planning Time (ms),CPU Utilization (%)
1,47.483570765056164,2.8769438869243786,6.234731247272662,2.836803991262342,10.216717023616898,49.630887737658206,True,228.07035179442383,39.62783285449977
2,44.308678494144075,4.369032015851961,7.929816542220196,3.051855167842424,13.201874931138681,54.54708320235065,True,238.14665284982476,43.10336048775339
3,48.23844269050346,4.485928225209846,8.568979468385123,4.097834884098609,15.01573109915455,38.00716213090429,True,221.65016192129707,40.88850500466627
4,52.61514928204013,3.796584096167572,7.850386148202475,3.988296212346772,15.140941781294226,47.81484618345286,True,166.12844686348313,33.323278206449494
5,43.82923312638332,4.758071432500986,6.380402064543896,3.4832787248286814,13.64980358556227,41.746787154390866,True,184.2643920116068,41.90098925502981
6,43.8293152152541,5.606076285221808,7.668251245306685,3.5938619066470254,16.868549797042498,42.56437308117652,True,214.68123683683754,43.05292872641912
7,52.896064077536955,7.829278851815795,11.344314119024455,4.52213191663074,11.797138711852217,42.03803037880566,True,163.33616573324164,42.7989522396552
8,48.837173645764544,5.261866719247759,8.775652670159968,3.026742888931336,14.572861544936119,40.68004615160092,True,221.38995290517164,45.40390362777311
9,42.65262807032524,5.386325586084147,8.901373272390195,3.9376779049360304,15.360886895135696,45.24260813972413,True,192.79023805525594,44.16961077274452
10,47.712800217929825,4.888331126350749,11.74106261700547,3.3382458780528848,16.543316502176246,40.845249417944814,False,188.75537577351207,42.29590039614219
11,42.68291153593769,2.1218431770514377,5.692733687744605,3.325855037418224,17.13484463426667,46.35228412889919,True,221.32879904610473,39.649171442706766
12,42.671351232148716,4.960229186826175,9.095794827006774,4.379021481589752,11.626073724486393,44.748809452754315,True,213.3278993445812,31.69519533242004
13,46.20981135783017,5.09034531491154,9.044347078404742,4.160333079190424,10.397657487793133,43.80525976566795,True,189.1710150254276,42.14809109566293
14,35.43359877671101,8.69486316872793,12.346254420033727,4.150807708800511,18.83303046569553,40.46218168979201,False,234.77989410092744,41.03843843581556
15,36.375410837434835,4.711458552828316,7.396189308187971,4.544383045723463,15.996942035938774,42.116143347158335,True,167.56810017200308,41.35789418597687
16,42.188562353795135,5.452321013500419,9.211290233993687,3.5168030733062072,12.75454039033034,48.77695612912878,True,218.4780682083279,33.61625712089845
17,39.93584439832788,4.947932345442135,7.175107130904563,4.045562377035971,19.653455926567567,47.504585938121906,True,217.7930377390515,34.59471729795869
18,46.57123666297637,3.246982943570702,6.010164336830693,3.2517865947252353,15.347023902878576,40.11222377600724,True,190.71360682058028,45.26576426666452
19,40.45987962239394,6.71423422177253,9.228870673943426,3.7593330819907536,18.53789155219148,45.49666152714613,True,209.78399066726354,39.802224230716725
20,37.93848149332354,6.127899549030161,9.209773688416483,3.3958855565058523,15.202555444230327,48.75693561685895,True,162.4665927084409,43.40750348686312
21,52.32824384460777,6.18654792056457,11.501206487238079,3.5775967719941746,21.18224377464596,36.652973594393146,False,227.72081057620704,40.14159188065231
22,43.87111849756732,3.635918817807892,4.768653625216144,3.976125620349531,20.266022527329614,47.71680096189967,True,194.45293590671034,40.14878069747873
23,45.337641023439616,7.104191466404149,10.790451656778663,2.845423453413222,14.25310755456278,41.686881205270765,True,184.3183093844288,44.69141902987999
24,37.87625906893272,2.8972234058115784,4.284507534621927,5.0,17.914712852863065,47.852993342965796,False,231.47027677510667,37.41977635891313
25,42.27808637737409,5.880285640700405,8.408353774910971,2.6951860948002384,16.936127848755444,41.18370421728741,True,178.8696892837172,40.48060388470492
26,45.554612948549334,8.285683438714969,12.374634035682334,2.5286491097698143,19.105894672597046,35.9755894966774,True,157.7461611090932,37.68862355647479
27,39.24503211288849,3.514195512303967,6.57847553139943,4.426488698800054,12.105229618259687,36.862287810584185,True,153.30112479428288,37.827518862838424
28,46.87849009172836,4.150553405595842,6.072808627666536,4.1333301551703485,17.05815437999532,45.24042473330691,True,218.1802985403692,38.454139382656805
29,41.99680655040598,5.1494770476314615,7.434173338371494,3.999295853641724,18.175273460548762,46.29861250860741,True,161.5871194251115,41.110668858168566
30,43.54153125103362,4.244786518825701,7.924384267760377,4.002676407411424,9.723781540730657,40.47841687447796,True,252.64382545953094,37.60625689168261
31,41.991466938853016,2.6740048534008007,4.943638221683664,3.4902025817224684,11.450224462002675,48.19296229388687,False,137.54211776348833,46.278780627867604
32,54.26139092254469,5.102844462209041,8.319303051791016,2.7821965028113347,8.882303466719698,36.6923996886552,False,250.89369104870116,35.52696348890248
33,44.93251387631033,3.4065444294108427,6.452116269314656,3.560643646554981,14.191779496666326,44.669601006763415,True,206.33052401607856,39.06564177919321
34,39.7114453552205,5.710388645952772,8.058788298346954,2.9582706307903104,17.152626767387886,38.94491900118771,True,197.09860664388822,37.801344708629124
35,49.11272456051594,3.620863648649295,8.764807737974621,4.280095786734201,19.507071156288085,41.7408194609892,False,183.6524273957315,47.23488942176866
36,38.89578175014489,7.324901607526309,10.95882062984432,3.382354094798289,15.222284341259325,45.23699335658207,True,211.97408343056213,40.98277388255787
37,46.04431797502378,3.825120061495644,4.7999774748380375,2.8396022425659906,19.885846636713875,40.69793317358024,True,198.87095892725455,45.159222697343175
38,35.201649380601125,4.516907725691486,7.703362040460914,3.242891326677605,10.859695625355325,43.077222278850876,False,233.09905646049566,32.57219813481514
39,38.359069755507846,6.220275826054505,8.558489361286117,3.8303451634204997,9.889852681934535,50.0314640460722,True,203.42682945986118,41.33525132934629
40,45.984306179345616,3.153703525349067,7.006136860145292,3.0490203577568202,14.833356903310143,42.115540652384254,True,204.50905284385632,44.44815397811718
41,48.69233289997705,5.341189901906194,7.548669163473494,2.842223683546855,16.152196346817924,49.17846056032571,True,189.09163363358434,40.41141994637712
42,45.85684140594985,6.960714131423642,9.845977689956744,3.69494976919353,14.90191575571772,39.35146572671191,True,198.29163128836797,45.32740187532676
43,44.4217585880588,2.5887751481581587,6.093762427138616,3.6959732568869783,8.79767369988037,47.64902088957641,True,209.2340530667618,37.41355774949814
44,43.494481522053555,5.276950787798456,9.142705981968577,3.0944454597030964,14.732639881461635,52.207843103289505,True,148.69494822030123,47.0467372009279
45,37.60739004816286,5.389824191372635,7.189527784316859,3.123169355505342,11.08659149848544,32.641777499363556,True,159.5544373368286,51.49449061809625
46,41.40077895802646,6.172734307665966,8.838233071825018,3.685639949886109,17.009017646490115,41.015523722647615,True,222.29792282068144,38.18580719780171
47,42.696806145201066,3.144573933682877,5.6696286225219215,2.3415325268021405,16.099794738290544,47.8853606359027,True,205.12596314383825,37.77248739299614
48,50.285611131094576,3.0193150803735858,5.365985847799874,2.374028980498756,12.180360641017934,43.984773069785035,True,194.48049990941962,47.2669223855885
49,46.718091447842305,5.782912348425347,10.548366588706443,2.925244622998051,13.45839924798992,46.85572936685654,True,200.55301799196178,47.89786072865356
50,36.18479922318633,5.445477009849779,8.850458720810735,3.329242278630522,11.822359434333144,41.9800740664209,False,210.42745116085013,37.38569986423366
51,46.620419846973974,5.375739275518815,7.11485532118377,3.748726052478404,14.811962708180484,45.4329489373645,True,183.80720959071914,37.89906591452071
52,43.07458859791842,5.519672314245463,9.43753426130024,4.680284973559642,17.865426961503715,44.221613823039604,True,176.6508582379306,38.59107695569747
53,41.61538999847021,3.979962917632264,9.102119114644896,4.186127698561616,12.042821860993369,50.838910308299035,True,205.87535765293046,33.27774744482861
54,48.058381444204336,5.348380545741505,9.380845806292651,3.3720491760292584,16.512139546553534,46.272104216506065,True,170.64881667154904,35.40674026757901
55,50.154997612479754,5.439608709948022,6.920238743994009,3.484787033677849,13.409227144882678,46.68801331037601,True,212.24758267143415,34.97929616623966
56,49.65640059558099,3.928472872960448,6.444238800094197,2.697976508289753,12.621381503212968,42.94061516938766,True,148.92249187286478,36.16101217447936
57,40.80391238388681,7.798661766717135,12.065572915903758,3.485189491206088,14.678908920136326,42.56196887963753,True,230.8746691197693,39.82657556306609
58,43.45393812074393,5.710749381367681,8.0030799157489,3.2690730888638893,11.894273032741879,42.8372090609019,True,214.17792447239128,41.1710736626826
59,46.65631715701782,3.213044754196027,6.656864182342256,3.7581748482704715,13.339052083958453,46.97226071189149,True,207.68089202941627,47.75250246407038
60,49.877725635611796,5.984830412950744,9.75946446638008,2.8382152451581417,11.406366322233454,42.895077595898684,True,229.48072951836542,35.00822979630605
61,42.60412881077355,3.537977494659018,5.6110470230809355,3.915477211392938,20.89417539874917,46.448874284482066,False,249.9642333338773,44.92161199238292
62,44.07170511668092,6.1806269056136784,9.121101549551879,4.7261911304020625,15.105790655915186,55.37700399322719,True,230.4311019505439,38.93005577887246
63,39.468325129969855,6.737893368511106,6.496626028442034,3.4129918812345137,12.900823476022243,49.35562351715846,True,144.77377306005064,39.752681451737836
64,39.01896687959665,3.7689765224724345,5.744588881138145,3.821369377679153,15.641939732202665,43.369882339160796,True,161.61269099792895,43.37409746083302
65,49.06262911197099,6.445064193866482,9.192496042473323,4.05211519336889,14.663015850927511,51.00606961081972,True,181.25544266912965,34.386389892188504
66,51.78120014285412,5.619171390404747,7.371388208439898,3.179023622491331,14.33709120140033,42.95962313489224,True,200.782731506325,41.912048730920255
67,44.63994939209833,6.233090239991735,10.865501543923369,3.6792739854483334,16.842500100130277,34.80937732411073,True,215.5297706140737,40.83226104106528
68,50.01766448946012,7.845189473980922,9.41504809602029,3.510073920625436,17.272523130141916,39.95956844541298,False,178.22768560539603,42.462256320040744
69,46.808180125238174,4.631917825995695,7.191873339298711,3.5781408788390654,13.408496557168418,35.646040394870724,True,205.60300293431234,41.44584321953909
70,41.774401226974376,3.8693957534637655,7.000136330749857,2.8815921729156266,13.27254527806596,43.24243257979346,True,177.33851202940033,52.276500699554475
71,46.80697802754207,3.665728355561715,8.10700164462783,3.519608139407154,14.174844908545069,45.09209189594776,True,181.65446591024156,36.81130007874342
72,52.690182832329846,3.776284572551843,5.340422421372404,3.8983986329963596,8.094236505793246,53.382186561376415,False,157.80016709455333,37.34501522499091
73,44.82086980445024,4.884347435878844,9.047511188033804,4.660914886236034,10.454426813404343,46.63463686882081,True,172.30300261667287,36.88429736787618
74,52.82321827907003,5.511727962224966,8.521961023244554,4.267416660868165,19.100622802333575,43.90449735595568,True,159.44946183151,37.22261440419873
